index,league,player_id,salary,season,season_end,season_start,team
56,NBA,adamsal01,500000,1984-85,1985,1984,Phoenix Suns
57,NBA,adamsal01,600000,1985-86,1986,1985,Phoenix Suns
58,NBA,adamsal01,675000,1987-88,1988,1987,Phoenix Suns
59,NBA,adamsha01,412718,2006-07,2007,2006,New Jersey Nets
60,NBA,adamsha01,297163,2008-09,2009,2008,Los Angeles Clippers
61,NBA,adamsjo01,1344120,2014-15,2015,2014,Memphis Grizzlies
62,NBA,adamsjo01,1404600,2015-16,2016,2015,Memphis Grizzlies
63,NBA,adamsjo01,1465080,2016-17,2017,2016,Memphis Grizzlies
64,NBA,adamsmi01,85000,1985-86,1986,1985,Sacramento Kings
65,NBA,adamsmi01,160000,1987-88,1988,1987,Denver Nuggets
66,NBA,adamsmi01,375000,1988-89,1989,1988,Denver Nuggets
67,NBA,adamsmi01,825000,1990-91,1991,1990,Denver Nuggets
68,NBA,adamsmi01,1309000,1991-92,1992,1991,Washington Bullets
69,NBA,adamsmi01,1309000,1992-93,1993,1992,Washington Bullets
70,NBA,adamsmi01,1309000,1993-94,1994,1993,Washington Bullets
71,NBA,adamsmi01,1240000,1994-95,1995,1994,Charlotte Hornets
72,NBA,adamsst01,2090880,2013-14,2014,2013,Oklahoma City Thunder
73,NBA,adamsst01,2184960,2014-15,2015,2014,Oklahoma City Thunder
74,NBA,adamsst01,2279040,2015-16,2016,2015,Oklahoma City Thunder
75,NBA,adamsst01,3140517,2016-17,2017,2016,Oklahoma City Thunder
76,NBA,adamsst01,22471910,2017-18,2018,2017,Oklahoma City Thunder
77,NBA,addisra01,311000,1991-92,1992,1991,New Jersey Nets
78,NBA,addisra01,522000,1992-93,1993,1992,New Jersey Nets
79,NBA,addisra01,250000,1994-95,1995,1994,Detroit Pistons
80,NBA,addisra01,360000,1995-96,1996,1995,Charlotte Hornets
81,NBA,addisra01,290000,1996-97,1997,1996,Charlotte Hornets
82,NBA,adebaba01,2490360,2017-18,2018,2017,Miami Heat
83,NBA,adrieje01,342666,2010-11,2011,2010,Golden State Warriors
84,NBA,adrieje01,270427,2011-12,2012,2011,Houston Rockets
85,NBA,adrieje01,804131,2012-13,2013,2012,Charlotte Bobcats
86,NBA,adrieje01,916099,2013-14,2014,2013,Charlotte Bobcats
87,NBA,adrieje01,981084,2014-15,2015,2014,Houston Rockets
88,NBA,afflaar01,944520,2007-08,2008,2007,Detroit Pistons
89,NBA,afflaar01,1015440,2008-09,2009,2008,Detroit Pistons
90,NBA,afflaar01,1086240,2009-10,2010,2009,Denver Nuggets
91,NBA,afflaar01,1959577,2010-11,2011,2010,Denver Nuggets
92,NBA,afflaar01,7562500,2011-12,2012,2011,Denver Nuggets
93,NBA,afflaar01,7750000,2012-13,2013,2012,Orlando Magic
94,NBA,afflaar01,7312500,2013-14,2014,2013,Orlando Magic
95,NBA,afflaar01,7750000,2014-15,2015,2014,Portland Trail Blazers
96,NBA,afflaar01,8000000,2015-16,2016,2015,New York Knicks
97,NBA,afflaar01,12500000,2016-17,2017,2016,Sacramento Kings
98,NBA,afflaar01,1500000,2017-18,2018,2017,Sacramento Kings
99,NBA,afflaar01,1471382,2017-18,2018,2017,Orlando Magic
100,NBA,agerma01,906480,2006-07,2007,2006,Dallas Mavericks
101,NBA,agerma01,974400,2007-08,2008,2007,New Jersey Nets
102,NBA,agerma01,1042440,2008-09,2009,2008,New Jersey Nets
103,NBA,agerma01,83305,2010-11,2011,2010,Minnesota Timberwolves
104,NBA,aguirma01,800000,1984-85,1985,1984,Dallas Mavericks
105,NBA,aguirma01,626240,1985-86,1986,1985,Dallas Mavericks
106,NBA,aguirma01,715700,1987-88,1988,1987,Dallas Mavericks
107,NBA,aguirma01,715700,1988-89,1989,1988,Dallas Mavericks
108,NBA,aguirma01,1115000,1990-91,1991,1990,Detroit Pistons
109,NBA,aguirma01,1232000,1991-92,1992,1991,Detroit Pistons
110,NBA,aguirma01,1351000,1992-93,1993,1992,Detroit Pistons
111,NBA,aguirma01,1471000,1993-94,1994,1993,Detroit Pistons
112,NBA,aguirma01,150000,1993-94,1994,1993,Los Angeles Clippers
113,NBA,ahearbl01,125562,2008-09,2009,2008,San Antonio Spurs
114,NBA,aingeda01,400000,1984-85,1985,1984,Boston Celtics
115,NBA,aingeda01,550000,1985-86,1986,1985,Boston Celtics
116,NBA,aingeda01,625000,1987-88,1988,1987,Boston Celtics
117,NBA,aingeda01,675000,1988-89,1989,1988,Boston Celtics
118,NBA,aingeda01,725000,1990-91,1991,1990,Portland Trail Blazers
119,NBA,aingeda01,725000,1991-92,1992,1991,Portland Trail Blazers
120,NBA,aingeda01,1330000,1992-93,1993,1992,Phoenix Suns
121,NBA,aingeda01,1690000,1993-94,1994,1993,Phoenix Suns
122,NBA,aingeda01,2080000,1994-95,1995,1994,Phoenix Suns
123,NBA,ajincal01,1276320,2008-09,2009,2008,Charlotte Bobcats
124,NBA,ajincal01,1372080,2009-10,2010,2009,Charlotte Bobcats
125,NBA,ajincal01,1467840,2010-11,2011,2010,Toronto Raptors
126,NBA,ajincal01,981084,2014-15,2015,2014,New Orleans Pelicans
127,NBA,ajincal01,4300000,2015-16,2016,2015,New Orleans Pelicans
128,NBA,ajincal01,4600000,2016-17,2017,2016,New Orleans Pelicans
129,NBA,ajincal01,4961798,2017-18,2018,2017,New Orleans Pelicans
130,NBA,akognjo01,788872,2013-14,2014,2013,Memphis Grizzlies
131,NBA,alabiso01,770000,2010-11,2011,2010,Toronto Raptors
132,NBA,alabiso01,830000,2011-12,2012,2011,Toronto Raptors
133,NBA,alarima01,232500,1987-88,1988,1987,Washington Bullets
134,NBA,alarima01,250000,1988-89,1989,1988,Washington Bullets
135,NBA,alarima01,500000,1990-91,1991,1990,Washington Bullets
136,NBA,alarima01,550000,1991-92,1992,1991,Washington Bullets
137,NBA,aldemfu01,3000000,2014-15,2015,2014,Philadelphia 76ers
138,NBA,aldemfu01,3000000,2015-16,2016,2015,Philadelphia 76ers
139,NBA,aldrico01,2126520,2010-11,2011,2010,Oklahoma City Thunder
140,NBA,aldrico01,2286000,2011-12,2012,2011,Oklahoma City Thunder
141,NBA,aldrico01,2445480,2012-13,2013,2012,Sacramento Kings
142,NBA,aldrico01,981084,2014-15,2015,2014,New York Knicks
143,NBA,aldrico01,1100600,2015-16,2016,2015,Los Angeles Clippers
144,NBA,aldrico01,7643979,2016-17,2017,2016,Minnesota Timberwolves
145,NBA,aldrico01,7300000,2017-18,2018,2017,Minnesota Timberwolves
146,NBA,aldrila01,4027320,2006-07,2007,2006,Portland Trail Blazers
147,NBA,aldrila01,4329360,2007-08,2008,2007,Portland Trail Blazers
148,NBA,aldrila01,4631400,2008-09,2009,2008,Portland Trail Blazers
149,NBA,aldrila01,5844827,2009-10,2010,2009,Portland Trail Blazers
150,NBA,aldrila01,11244000,2010-11,2011,2010,Portland Trail Blazers
151,NBA,aldrila01,12372000,2011-12,2012,2011,Portland Trail Blazers
152,NBA,aldrila01,13500000,2012-13,2013,2012,Portland Trail Blazers
153,NBA,aldrila01,14128000,2013-14,2014,2013,Portland Trail Blazers
154,NBA,aldrila01,16006000,2014-15,2015,2014,Portland Trail Blazers
155,NBA,aldrila01,19500000,2015-16,2016,2015,San Antonio Spurs
156,NBA,aldrila01,20575005,2016-17,2017,2016,San Antonio Spurs
157,NBA,aldrila01,21461010,2017-18,2018,2017,San Antonio Spurs
158,NBA,alexacl01,525093,2015-16,2016,2015,Portland Trail Blazers
159,NBA,alexacl01,51449,2016-17,2017,2016,Brooklyn Nets
160,NBA,alexaco01,490000,1995-96,1996,1995,San Antonio Spurs
161,NBA,alexaco01,521000,1996-97,1997,1996,San Antonio Spurs
162,NBA,alexaco01,562380,1997-98,1998,1997,San Antonio Spurs
163,NBA,alexaco01,1980000,1999-00,2000,1999,Denver Nuggets
164,NBA,alexaco01,2160000,2000-01,2001,2000,Denver Nuggets
165,NBA,alexaco01,1995741,2001-02,2002,2001,Denver Nuggets
166,NBA,alexaco01,2149259,2002-03,2003,2002,Denver Nuggets
167,NBA,alexaco01,2302778,2003-04,2004,2003,Denver Nuggets
168,NBA,alexaco02,1319400,2000-01,2001,2000,Dallas Mavericks
169,NBA,alexaco02,1418400,2001-02,2002,2001,Washington Wizards
170,NBA,alexaco02,1517280,2002-03,2003,2002,New Orleans Hornets
171,NBA,alexaco02,2168193,2003-04,2004,2003,New Orleans Hornets
172,NBA,alexaco02,79029,2004-05,2005,2004,Sacramento Kings
173,NBA,alexaga01,150000,1994-95,1995,1994,Cleveland Cavaliers
174,NBA,alexajo01,2403120,2008-09,2009,2008,Milwaukee Bucks
175,NBA,alexajo01,2583360,2009-10,2010,2009,Chicago Bulls
176,NBA,alexajo01,90465,2010-11,2011,2010,New Orleans Hornets
177,NBA,alexavi01,750000,1991-92,1992,1991,Golden State Warriors
178,NBA,alexavi01,942000,1992-93,1993,1992,Golden State Warriors
179,NBA,alexavi01,1160000,1993-94,1994,1993,Golden State Warriors
180,NBA,alexavi01,1377500,1994-95,1995,1994,Golden State Warriors
181,NBA,alexavi01,1595000,1995-96,1996,1995,Toronto Raptors
182,NBA,alexavi01,653350,2001-02,2002,2001,Detroit Pistons
183,NBA,alforst01,100000,1987-88,1988,1987,Dallas Mavericks
184,NBA,alforst01,150000,1988-89,1989,1988,Golden State Warriors
185,NBA,alforst01,250000,1990-91,1991,1990,Dallas Mavericks
186,NBA,allenja01,1713720,2017-18,2018,2017,Brooklyn Nets
187,NBA,allenje01,200000,1995-96,1996,1995,Minnesota Timberwolves
188,NBA,allenje01,247500,1996-97,1997,1996,Indiana Pacers
189,NBA,allenje01,35000,1997-98,1998,1997,Cleveland Cavaliers
190,NBA,allenje01,510000,1999-00,2000,1999,Milwaukee Bucks
191,NBA,allenla01,473604,2011-12,2012,2011,Philadelphia 76ers
192,NBA,allenla01,3000000,2012-13,2013,2012,Philadelphia 76ers
193,NBA,allenla01,3060000,2013-14,2014,2013,Philadelphia 76ers
194,NBA,allenla01,948163,2014-15,2015,2014,Indiana Pacers
195,NBA,allenla01,3700000,2015-16,2016,2015,Indiana Pacers
196,NBA,allenla01,4000000,2016-17,2017,2016,Indiana Pacers
197,NBA,allenma01,332817,2001-02,2002,2001,Miami Heat
198,NBA,allenma01,512435,2002-03,2003,2002,Miami Heat
199,NBA,allenma01,1510000,2003-04,2004,2003,Miami Heat
200,NBA,allenma01,1950625,2004-05,2005,2004,Miami Heat
201,NBA,allenma01,1670000,2005-06,2006,2005,Chicago Bulls
202,NBA,allenma01,1803600,2006-07,2007,2006,Chicago Bulls
203,NBA,allenma01,998398,2007-08,2008,2007,Dallas Mavericks
204,NBA,allenma01,1300000,2008-09,2009,2008,Milwaukee Bucks
205,NBA,allenma01,1300000,2009-10,2010,2009,Denver Nuggets
206,NBA,allenma01,1229255,2010-11,2011,2010,Orlando Magic
207,NBA,allenra02,1785000,1996-97,1997,1996,Milwaukee Bucks
208,NBA,allenra02,2052360,1997-98,1998,1997,Milwaukee Bucks
209,NBA,allenra02,2320000,1998-99,1999,1998,Milwaukee Bucks
210,NBA,allenra02,9000000,1999-00,2000,1999,Milwaukee Bucks
211,NBA,allenra02,10130000,2000-01,2001,2000,Milwaukee Bucks
212,NBA,allenra02,11250000,2001-02,2002,2001,Milwaukee Bucks
213,NBA,allenra02,12375000,2002-03,2003,2002,Milwaukee Bucks
214,NBA,allenra02,13500000,2003-04,2004,2003,Seattle SuperSonics
215,NBA,allenra02,14625000,2004-05,2005,2004,Seattle SuperSonics
216,NBA,allenra02,13223140,2005-06,2006,2005,Seattle SuperSonics
217,NBA,allenra02,14611570,2006-07,2007,2006,Seattle SuperSonics
218,NBA,allenra02,16000000,2007-08,2008,2007,Boston Celtics
219,NBA,allenra02,18388430,2008-09,2009,2008,Boston Celtics
220,NBA,allenra02,18776860,2009-10,2010,2009,Boston Celtics
221,NBA,allenra02,10000000,2010-11,2011,2010,Boston Celtics
222,NBA,allenra02,10000000,2011-12,2012,2011,Boston Celtics
223,NBA,allenra02,3090000,2012-13,2013,2012,Miami Heat
224,NBA,allenra02,3229050,2013-14,2014,2013,Miami Heat
225,NBA,allento01,901920,2004-05,2005,2004,Boston Celtics
226,NBA,allento01,969696,2005-06,2006,2005,Boston Celtics
227,NBA,allento01,1037280,2006-07,2007,2006,Boston Celtics
228,NBA,allento01,1868141,2007-08,2008,2007,Boston Celtics
229,NBA,allento01,2500000,2008-09,2009,2008,Boston Celtics
230,NBA,allento01,2500000,2009-10,2010,2009,Boston Celtics
231,NBA,allento01,3000000,2010-11,2011,2010,Memphis Grizzlies
232,NBA,allento01,3150000,2011-12,2012,2011,Memphis Grizzlies
233,NBA,allento01,3300000,2012-13,2013,2012,Memphis Grizzlies
234,NBA,allento01,4494382,2013-14,2014,2013,Memphis Grizzlies
235,NBA,allento01,4831461,2014-15,2015,2014,Memphis Grizzlies
236,NBA,allento01,5168539,2015-16,2016,2015,Memphis Grizzlies
237,NBA,allento01,5505618,2016-17,2017,2016,Memphis Grizzlies
238,NBA,allento01,1471382,2017-18,2018,2017,Chicago Bulls
239,NBA,almonmo01,1005960,2007-08,2008,2007,Utah Jazz
240,NBA,almonmo01,1081440,2008-09,2009,2008,Utah Jazz
241,NBA,alstode01,150000,1994-95,1995,1994,Philadelphia 76ers
242,NBA,alstode01,350000,1995-96,1996,1995,Philadelphia 76ers
243,NBA,alstora01,301875,1999-00,2000,1999,Milwaukee Bucks
244,NBA,alstora01,423500,2000-01,2001,2000,Milwaukee Bucks
245,NBA,alstora01,625000,2001-02,2002,2001,Milwaukee Bucks
246,NBA,alstora01,37344,2002-03,2003,2002,Toronto Raptors
247,NBA,alstora01,688679,2003-04,2004,2003,Miami Heat
248,NBA,alstora01,3500000,2004-05,2005,2004,Toronto Raptors
249,NBA,alstora01,3850000,2005-06,2006,2005,Houston Rockets
250,NBA,alstora01,4200000,2006-07,2007,2006,Houston Rockets
251,NBA,alstora01,4550000,2007-08,2008,2007,Houston Rockets
252,NBA,alstora01,4900000,2008-09,2009,2008,Orlando Magic
253,NBA,alstora01,4300000,2009-10,2010,2009,New Jersey Nets
254,NBA,alstora01,753133,2009-10,2010,2009,Miami Heat
255,NBA,amaecjo01,200000,1995-96,1996,1995,Cleveland Cavaliers
256,NBA,amaecjo01,385000,1999-00,2000,1999,Orlando Magic
257,NBA,amaecjo01,600000,2000-01,2001,2000,Orlando Magic
258,NBA,amaecjo01,2175000,2001-02,2002,2001,Utah Jazz
259,NBA,amaecjo01,2392500,2002-03,2003,2002,Utah Jazz
260,NBA,amaecjo01,2610000,2003-04,2004,2003,New York Knicks
261,NBA,amaecjo01,1200000,2004-05,2005,2004,New York Knicks
262,NBA,amayaas01,225000,1995-96,1996,1995,Vancouver Grizzlies
263,NBA,amayaas01,247500,1996-97,1997,1996,Washington Bullets
264,NBA,aminual01,2563320,2010-11,2011,2010,Los Angeles Clippers
265,NBA,aminual01,2755560,2011-12,2012,2011,New Orleans Hornets
266,NBA,aminual01,2947800,2012-13,2013,2012,New Orleans Hornets
267,NBA,aminual01,3700000,2013-14,2014,2013,New Orleans Pelicans
268,NBA,aminual01,981084,2014-15,2015,2014,Dallas Mavericks
269,NBA,aminual01,7500000,2015-16,2016,2015,Portland Trail Blazers
270,NBA,aminual01,7680965,2016-17,2017,2016,Portland Trail Blazers
271,NBA,aminual01,7319035,2017-18,2018,2017,Portland Trail Blazers
272,NBA,amundlo01,105696,2006-07,2007,2006,Philadelphia 76ers
273,NBA,amundlo01,75000,2006-07,2007,2006,Sacramento Kings
274,NBA,amundlo01,35232,2006-07,2007,2006,Utah Jazz
275,NBA,amundlo01,687456,2007-08,2008,2007,Philadelphia 76ers
276,NBA,amundlo01,797581,2008-09,2009,2008,Phoenix Suns
277,NBA,amundlo01,855189,2009-10,2010,2009,Phoenix Suns
278,NBA,amundlo01,2225000,2010-11,2011,2010,Golden State Warriors
279,NBA,amundlo01,2403000,2011-12,2012,2011,Indiana Pacers
280,NBA,amundlo01,1069509,2012-13,2013,2012,Minnesota Timberwolves
281,NBA,amundlo01,409167,2014-15,2015,2014,New York Knicks
282,NBA,amundlo01,1650000,2015-16,2016,2015,New York Knicks
283,NBA,amundlo01,1551659,2016-17,2017,2016,New York Knicks
284,NBA,anderch01,288171,2001-02,2002,2001,Denver Nuggets
285,NBA,anderch01,512435,2002-03,2003,2002,Denver Nuggets
286,NBA,anderch01,638679,2003-04,2004,2003,Denver Nuggets
287,NBA,anderch01,1600000,2004-05,2005,2004,New Orleans Hornets
288,NBA,anderch01,3500000,2005-06,2006,2005,New Orleans/Oklahoma City Hornets
289,NBA,anderch01,998398,2008-09,2009,2008,Denver Nuggets
290,NBA,anderch01,3650000,2009-10,2010,2009,Denver Nuggets
291,NBA,anderch01,4533300,2010-11,2011,2010,Denver Nuggets
292,NBA,anderch01,4234000,2011-12,2012,2011,Denver Nuggets
293,NBA,anderch01,4526000,2012-13,2013,2012,Denver Nuggets
294,NBA,anderch01,699952,2012-13,2013,2012,Miami Heat
295,NBA,anderch01,1399507,2013-14,2014,2013,Miami Heat
296,NBA,anderch01,5375000,2014-15,2015,2014,Miami Heat
297,NBA,anderch01,5000000,2015-16,2016,2015,Memphis Grizzlies
298,NBA,anderch01,1551659,2016-17,2017,2016,Charlotte Hornets
299,NBA,anderda03,2300000,2009-10,2010,2009,Houston Rockets
300,NBA,anderda03,2500000,2010-11,2011,2010,New Orleans Hornets
301,NBA,anderal01,398762,2005-06,2006,2005,Charlotte Bobcats
302,NBA,anderal01,102131,2006-07,2007,2006,Charlotte Bobcats
303,NBA,anderal01,885120,2012-13,2013,2012,Toronto Raptors
304,NBA,anderal01,947907,2013-14,2014,2013,Brooklyn Nets
305,NBA,anderal01,1276061,2014-15,2015,2014,Brooklyn Nets
306,NBA,anderal01,4000000,2015-16,2016,2015,Washington Wizards
307,NBA,anderal01,1315448,2016-17,2017,2016,Los Angeles Clippers
308,NBA,anderde01,1107240,1997-98,1998,1997,Cleveland Cavaliers
309,NBA,anderde01,1273000,1998-99,1999,1998,Cleveland Cavaliers
310,NBA,anderde01,1439400,1999-00,2000,1999,Los Angeles Clippers
311,NBA,anderde01,2250000,2000-01,2001,2000,San Antonio Spurs
312,NBA,anderde01,6495000,2001-02,2002,2001,Portland Trail Blazers
313,NBA,anderde01,7144500,2002-03,2003,2002,Portland Trail Blazers
314,NBA,anderde01,7794000,2003-04,2004,2003,Portland Trail Blazers
315,NBA,anderde01,8443500,2004-05,2005,2004,Portland Trail Blazers
316,NBA,anderde01,9093000,2005-06,2006,2005,Portland Trail Blazers
317,NBA,anderde01,1670000,2005-06,2006,2005,Houston Rockets
318,NBA,anderde01,9742500,2006-07,2007,2006,Portland Trail Blazers
319,NBA,anderde01,901397,2006-07,2007,2006,Charlotte Bobcats
320,NBA,anderde01,400000,2006-07,2007,2006,Miami Heat
321,NBA,anderde01,1219590,2007-08,2008,2007,Charlotte Bobcats
322,NBA,anderer01,140000,1992-93,1993,1992,New York Knicks
323,NBA,anderer01,250000,1993-94,1994,1993,New York Knicks
324,NBA,andergr01,185000,1987-88,1988,1987,San Antonio Spurs
325,NBA,andergr01,200000,1988-89,1989,1988,San Antonio Spurs
326,NBA,andergr01,1365000,1990-91,1991,1990,Denver Nuggets
327,NBA,andergr01,1465000,1991-92,1992,1991,Denver Nuggets
328,NBA,andergr01,650000,1993-94,1994,1993,Detroit Pistons
329,NBA,andergr01,400000,1994-95,1995,1994,Detroit Pistons
330,NBA,andergr01,110000,1994-95,1995,1994,Atlanta Hawks
331,NBA,andergr01,485000,1995-96,1996,1995,San Antonio Spurs
332,NBA,andergr01,584000,1996-97,1997,1996,San Antonio Spurs
333,NBA,andergr01,272250,1997-98,1998,1997,Atlanta Hawks
334,NBA,anderja01,1361400,2010-11,2011,2010,San Antonio Spurs
335,NBA,anderja01,1463520,2011-12,2012,2011,San Antonio Spurs
336,NBA,anderja01,472427,2012-13,2013,2012,Houston Rockets
337,NBA,anderja01,145749,2012-13,2013,2012,San Antonio Spurs
338,NBA,anderja01,916099,2013-14,2014,2013,Philadelphia 76ers
339,NBA,anderja01,1015421,2015-16,2016,2015,Sacramento Kings
340,NBA,anderju01,1449000,2015-16,2016,2015,Dallas Mavericks
341,NBA,anderju01,1514160,2016-17,2017,2016,Philadelphia 76ers
342,NBA,anderju01,1579440,2017-18,2018,2017,Philadelphia 76ers
343,NBA,anderke01,1828000,1991-92,1992,1991,New Jersey Nets
344,NBA,anderke01,2376000,1992-93,1993,1992,New Jersey Nets
345,NBA,anderke01,2925000,1993-94,1994,1993,New Jersey Nets
346,NBA,anderke01,3463200,1994-95,1995,1994,New Jersey Nets
347,NBA,anderke01,3898000,1995-96,1996,1995,New Jersey Nets
348,NBA,anderke01,4175000,1996-97,1997,1996,Portland Trail Blazers
349,NBA,anderke01,5010000,1997-98,1998,1997,Portland Trail Blazers
350,NBA,anderke01,5845000,1998-99,1999,1998,Boston Celtics
351,NBA,anderke01,6680000,1999-00,2000,1999,Boston Celtics
352,NBA,anderke01,7520000,2000-01,2001,2000,Boston Celtics
353,NBA,anderke01,8350000,2001-02,2002,2001,Boston Celtics
354,NBA,anderke01,9185000,2002-03,2003,2002,Seattle SuperSonics
355,NBA,anderke01,1070000,2003-04,2004,2003,Indiana Pacers
356,NBA,anderke01,1100000,2004-05,2005,2004,Atlanta Hawks
357,NBA,anderky01,1093680,2014-15,2015,2014,San Antonio Spurs
358,NBA,anderky01,1142879,2015-16,2016,2015,San Antonio Spurs
359,NBA,anderky01,1192080,2016-17,2017,2016,San Antonio Spurs
360,NBA,anderky01,2151704,2017-18,2018,2017,San Antonio Spurs
361,NBA,anderni01,725000,1990-91,1991,1990,Orlando Magic
362,NBA,anderni01,750000,1991-92,1992,1991,Orlando Magic
363,NBA,anderni01,800000,1992-93,1993,1992,Orlando Magic
364,NBA,anderni01,2670000,1993-94,1994,1993,Orlando Magic
365,NBA,anderni01,3090000,1994-95,1995,1994,Orlando Magic
366,NBA,anderni01,3200000,1995-96,1996,1995,Orlando Magic
367,NBA,anderni01,3790000,1996-97,1997,1996,Orlando Magic
368,NBA,anderni01,4000000,1997-98,1998,1997,Orlando Magic
369,NBA,anderni01,3200000,1998-99,1999,1998,Orlando Magic
370,NBA,anderni01,5051906,1999-00,2000,1999,Sacramento Kings
371,NBA,anderni01,3750000,2000-01,2001,2000,Sacramento Kings
372,NBA,anderni01,5401906,2001-02,2002,2001,Memphis Grizzlies
373,NBA,anderni01,6101906,2002-03,2003,2002,Cleveland Cavaliers
374,NBA,anderri01,150000,1987-88,1988,1987,Portland Trail Blazers
375,NBA,anderri01,375000,1988-89,1989,1988,Portland Trail Blazers
376,NBA,anderro01,115000,1985-86,1986,1985,Cleveland Cavaliers
377,NBA,anderro01,200000,1987-88,1988,1987,Indiana Pacers
378,NBA,anderro01,300000,1988-89,1989,1988,Philadelphia 76ers
379,NBA,anderro01,425000,1990-91,1991,1990,Philadelphia 76ers
380,NBA,anderro01,1000000,1991-92,1992,1991,Philadelphia 76ers
381,NBA,anderro01,950000,1992-93,1993,1992,Philadelphia 76ers
382,NBA,anderro01,300000,1993-94,1994,1993,Philadelphia 76ers
383,NBA,anderry01,1225200,2008-09,2009,2008,New Jersey Nets
384,NBA,anderry01,1317120,2009-10,2010,2009,Orlando Magic
385,NBA,anderry01,1409040,2010-11,2011,2010,Orlando Magic
386,NBA,anderry01,2244601,2011-12,2012,2011,Orlando Magic
387,NBA,anderry01,8700000,2012-13,2013,2012,New Orleans Hornets
388,NBA,anderry01,8308500,2013-14,2014,2013,New Orleans Pelicans
389,NBA,anderry01,8491500,2014-15,2015,2014,New Orleans Pelicans
